SPECTRUM - MS,
517.RAW,
FTMS - p ESI Full ms [50.00-1000.00],
Scan #: 1-45,
RT: 0.01-2.00,
AV: 45,
m/z,Intensity

50.0049,69.7
50.0143,228.3
50.0151,76.7
50.0335,120.2
50.0339,274.8
50.0449,99.1
50.0505,104.1
50.0541,277.1
50.056,61.8
50.0571,121.4
50.0645,129.3
50.0737,198.7
50.0865,61.5
50.0869,76.1
50.0946,108.7
50.0988,123.5
50.122,56.7
50.1316,73.6
50.1459,308.1
50.1538,51.3
50.1647,427.6
50.1921,101.2
50.1943,79.1
50.2277,58.2
50.2397,98.4
50.2413,52.5
50.2426,88.3
50.2462,236.2
50.2486,117.3
50.2524,104.8
50.262,55.8
50.2639,146.3
50.2797,238.1
50.2827,238.4
50.2926,68.8
50.2993,84.7
50.3084,73.9
50.3116,379.7
50.3353,78.9
50.3446,136.2
50.3527,112.9
50.3557,76.9
50.3824,74.9
50.4019,99
50.4045,93.8
50.4061,392.9
50.4084,55.1
50.4366,83.6
50.4395,91
50.4449,77.4
50.457,99.6
50.4618,65.1
50.4751,50.5
50.4823,222.2
50.483,61.5
50.4872,68.6
50.4966,90.2
50.498,74.5
50.5233,132.7
50.5509,59.9
50.5756,21.4
50.5783,52.8
50.5931,427
50.6018,91.2
50.604,148.2
50.6094,78.7
50.6106,126.3
50.6116,152.6
50.6205,124.6
50.635,120.7
50.6415,88
50.6656,189.2
50.6682,57.9
50.6717,137.2
50.6825,153.1
50.6866,128.2
50.6922,90.1
50.7043,67.3
50.7098,30.6
50.7118,49
50.7172,23.4
50.7206,428.2
50.7328,356.4
50.7351,85.6
50.7404,64.1
50.7419,59.3
50.7468,154.2
50.7583,47.1
50.7736,359.2
50.784,365.1
50.7877,133.3
50.8278,69.8
50.8383,205.8
50.8435,121.2
50.873,201.3
50.916,46.5
50.9203,64.7
50.9211,88.3
50.9504,115.1
50.9605,198.9
50.9804,78.7
50.9847,187.6
50.9893,109.8
50.9994,438.1
51.0058,131.9
51.0289,52.7
51.0296,320.6
51.049,108.1
51.0526,94.6
51.1037,104.9
51.1049,383.9
51.1062,75.1
51.115,71.5
51.1192,58.6
51.1196,60.1
51.1224,77.9
51.1285,28.2
51.1352,88.4
51.1371,104.2
51.1451,50.3
51.1467,99.9
51.159,90.9
51.1751,57.8
51.2196,92.4
51.2206,75.4
51.2253,88.4
51.2321,77.1
51.2359,78.4
