SPECTRUM - MS,
QC_4.RAW,
FTMS - p ESI Full ms [50.00-1000.00],
Scan #: 1-45,
RT: 0.01-2.00,
AV: 45,
m/z,Intensity

50.0025,91.5
50.0038,50.9
50.0041,110.4
50.0049,50.1
50.013,291.6
50.0458,45.7
50.0553,64.2
50.0597,54.5
50.0637,253
50.066,56.9
50.0741,26
50.0778,175.5
50.0846,50.2
50.1049,115.8
50.1107,55
50.1123,102.2
50.1149,109.1
50.1181,63.7
50.1239,77.7
50.1282,354.6
50.1366,60.9
50.1405,274.1
50.1445,269.7
50.1533,77.8
50.1943,106.8
50.195,66.7
50.2038,76.8
50.2082,58.5
50.2117,71.5
50.2154,114.2
50.2197,94.6
50.2412,44.5
50.2466,83
50.2486,42.5
50.249,57.6
50.2521,458.8
50.2527,44.1
50.259,244.2
50.265,55.4
50.2813,123.7
50.2994,153.3
50.3092,69.6
50.3155,136.4
50.32,101.2
50.3238,52.9
50.3413,114.7
50.3501,44.9
50.3643,230.2
50.3822,64.7
50.3863,92
50.3891,95.9
50.3923,72
50.3996,131.4
50.4008,90.9
50.4123,251.6
50.4144,143
50.4343,55.2
50.4399,96
50.4412,91.9
50.4504,111.4
50.4544,127.3
50.4679,401.9
50.4705,60.4
50.4762,92
50.4796,80.9
50.4867,47.5
50.487,116.2
50.4882,144.2
50.4996,66
50.5017,433.6
50.5044,89.4
50.5248,53.2
50.5375,246.5
50.5426,50.1
50.5487,141
50.5582,47
50.5687,60.8
50.5795,89.1
50.5877,58.5
50.6028,80.6
50.6183,99.1
50.6202,244.8
50.6243,99.4
50.6442,77.2
50.663,57.4
50.668,108.8
50.6743,60.8
50.68,55.4
50.6892,56.8
50.7087,165.7
50.7141,273.7
50.7522,65.9
50.7851,368.8
50.7866,155.4
50.7894,65.7
50.799,241
50.8004,62.9
50.8179,54.7
50.8191,55.1
50.8361,199.8
50.8419,63.5
50.8503,57.1
50.8512,402.7
50.8519,222.3
50.8745,59.2
50.8978,70.4
50.9062,159.5
50.9455,127.2
50.9485,363.1
50.9527,43.5
50.9713,49.3
50.9825,60.8
50.9947,60.1
50.9956,100.8
50.997,110.7
51.0051,55.3
51.0066,71.1
51.0692,53.5
51.0709,59.2
51.0728,287.4
51.0846,180
51.0882,95.9
51.1019,50.4
51.1043,45.7
51.1116,54.6
51.132,116.4
51.1333,421
51.1359,92.7
51.15,173.5
51.1574,62.3
51.1762,367.9
51.1787,46.6
51.1864,51
51.195,431.7
51.2105,55.3
51.2114,54.5
51.2218,216.3
51.2314,145.6
51.2331,359
51.2409,62.2
51.2596,420.3
51.2839,101
51.3011,78.5
51.3017,45.9
51.3044,54.6
51.3071,134.2
51.3256,173.7
51.3288,104.7
51.3293,240.2
51.3393,138.5
51.3551,43.4
51.3648,88.1
51.3834,59.3
51.3844,93.1
51.3958,58.7
51.4005,58.5
51.435,51.6
51.4456,170.7
51.4476,225.2
51.4489,93
51.4532,90.1
51.4567,650.7
51.4624,78.1
51.486,340.3
51.496,161.6
51.4989,65.2
51.4999,443
51.5277,127.1
51.5335,79.2
51.5381,86.5
51.5397,68.5
51.5526,255.8
51.5609,79.6
51.5646,105.1
51.5794,109.4
51.5809,143.9
51.5841,93.5
51.5875,30.3
51.5899,65.8
51.5903,28.8
51.5946,63.8
51.596,460.4
51.5986,66.5
51.5996,275.9
51.6052,62.9
51.607,89.6
51.6308,153.6
51.6382,71.5
51.6566,250.7
51.6581,53.6
51.6631,81.7
51.6868,56.4
51.6891,271.6
51.7083,121
51.7615,69.2
51.7665,52.7
51.7671,30.7
51.7695,123
51.7724,80.8
51.7736,516.6
51.7772,106.8
51.7834,226.1
51.7923,73.1
51.819,66.1
51.847,122.9
51.8634,50.1
51.8727,63.7
51.8778,51.1
51.8824,74
51.8855,84.6
51.8896,273.2
51.9245,77.1
51.9549,51.1
51.9678,60.4
51.9711,59.9
51.978,299.7
51.9793,424
51.9809,104.8
51.9827,47.7
52.0003,73.9
52.0178,273.5
52.036,90.1
52.0436,101.5
52.0577,58.1
52.0629,177
52.0675,55.2
52.0763,105.6
52.0973,59.7
52.1013,67.5
52.1056,52.6
52.1116,80.5
52.1232,94.9
52.1277,55.8
52.1308,30.6
52.1487,52.4
52.1563,122.1
52.1568,236
52.1696,114.8
52.1754,48.7
52.1791,62.4
52.1848,50.5
52.2065,92.6
52.2133,47.2
52.2202,160.7
52.226,66.7
52.2294,49.1
52.2472,62.2
52.2589,88.7
52.2742,159.4
52.2865,93.8
52.2938,215.2
52.2989,48.6
52.3095,116.9
52.3308,62.5
52.3334,63.5
52.3415,278.9
52.3431,110.8
52.3464,50.5
52.3476,57.8
52.3504,116.3
52.3616,266.3
52.3657,368.6
52.369,90.2
52.3738,49.3
52.3938,52.7
52.3986,44.9
52.404,92.8
52.4086,388.2
52.454,46.6
52.4566,117.1
52.4614,51.3
52.463,239.3
52.4653,101.5
52.4664,56.5
52.4891,82.5
52.49,59.6
52.5024,53.4
52.5071,87.4
52.5122,54.5
52.5167,152.5
52.5181,59.5
52.522,430.7
52.5242,94.7
52.5331,75.7
52.5378,45.5
52.5558,282.9
52.5564,118.1
52.5715,115.5
52.5761,65.6
52.6045,247.4
52.6072,71.2
52.6087,54.1
52.6094,64.1
52.6104,56.1
52.6169,117.1
52.6343,97.3
52.6376,113.8
52.6398,176.9
52.6434,54.4
52.655,48.5
52.6599,52.4
52.6746,249.9
52.678,137
52.6933,259.9
52.6955,88.7
52.7013,99
52.7128,71.1
52.7151,60.1
52.7172,55
52.7314,58.4
52.7426,57.7
52.7484,348.9
52.7604,75
52.7726,164.8
52.773,218
52.7735,866.6
52.7737,650.9
52.774,1118
52.7749,563.5
52.7752,765.3
52.7758,1078.2
52.7762,700.9
52.7766,62.4
52.8096,95.7
52.8231,189
52.8422,104.4
52.8471,56.9
52.8499,59.7
52.8587,47.7
52.86,293.3
52.8626,117.8
52.873,51.2
52.8821,198.2
52.8861,55.7
52.9014,96.1
52.9225,58.1
52.9274,121.5
52.9513,60.8
52.9628,62.8
52.9796,62.1
53.0122,65.5
53.0137,118.3
53.024,101.3
53.0353,99.9
53.0662,62.5
53.0717,54.6
53.0826,51.3
53.0877,114.9
53.0914,257.9
53.1031,63.1
53.1044,87.5
53.1117,439
53.1169,54
53.1401,321.4
53.1451,58.6
53.1574,86.6
53.1877,173.5
53.192,59.9
53.205,79.6
53.208,52.9
53.2263,162.2
53.2298,69.6
53.2476,73.2
53.2491,75.8
53.2535,72.5
53.2635,109
53.3072,65.9
53.3259,59.6
53.3319,76.5
53.338,62.5
53.3554,77.8
53.376,58.6
53.3946,43.2
53.4028,421.2
53.4033,47.9
53.4063,108.6
53.411,115.8
53.4209,85.7
53.4291,59.1
53.4385,31.3
53.441,85.1
53.4552,103.4
53.4609,50.2
53.4613,28.5
53.4685,49.9
53.4711,97.2
53.4741,49.6
53.4823,49
53.495,466.9
53.4963,68.7
53.4993,66.6
53.5013,87.1
53.5058,182.1
53.5153,425
53.5319,64.8
53.5366,261.3
53.5513,62.5
53.5746,363.1
53.5773,49
53.58,58.2
53.5851,107.3
53.5869,324.2
53.5996,53.5
53.6024,163.4
53.6037,44.1
53.6078,147.8
53.6128,173.2
53.6218,252.1
53.6243,73.4
53.6911,245.2
53.7084,31.4
53.7142,317.7
53.724,333.6
53.7297,252.4
53.7404,106.2
53.7428,103
53.7463,128
53.7556,322.6
53.7835,102.1
53.7903,234
53.8001,80.9
53.8658,68
53.8705,61.1
53.8711,58.1
53.8781,71
53.8793,482.1
53.9,67.6
53.9116,68.7
53.9182,63.1
53.9236,113.3
53.9256,60.1
53.9645,47.5
53.9695,198.4
53.9757,134
53.9822,134.5
53.9866,59.7
53.9974,357.7
54.0038,80.1
54.0129,104.3
54.0239,87.3
54.0482,88.4
54.0531,227.8
54.0579,191.9
54.064,175.7
54.0652,58.7
54.0693,46.8
54.0781,51.8
54.0863,78.2
54.101,103
