SPECTRUM - MS,
lav_1081.RAW,
FTMS - p ESI Full ms [50.00-1000.00],
Scan #: 1-43,
RT: 0.01-1.98,
AV: 43,
m/z,Intensity

50.0156,47.7
50.0291,45.7
50.0318,20.4
50.032,20.9
50.0534,31.1
50.0567,61.5
50.0645,61.6
50.0914,85.3
50.1062,46.4
50.1089,38
50.1111,35
50.1156,58.3
50.1202,37.3
50.1265,57.2
50.1451,32.2
50.1701,34.8
50.1726,45.1
50.1767,48.1
50.1815,27
50.1889,48.7
50.1949,54
50.2037,40.7
50.2176,31.1
50.2227,40.9
50.2246,41.5
50.2332,52.8
50.2392,55.3
50.258,65.5
50.2617,35.6
50.2792,48.3
50.2825,16.9
50.285,40.6
50.3018,34.5
50.311,58
50.3139,51.8
50.3192,45.7
50.3325,55.6
50.3411,53.8
50.3473,81.8
50.3682,31.3
50.373,51.2
50.375,52.4
50.3815,50.3
50.3835,41.2
50.3879,38.8
50.3924,44.5
50.3982,38
50.4153,39.6
50.4432,67.2
50.4449,43.5
50.4576,36.5
50.4613,38.4
50.4639,44.2
50.465,84.6
50.4831,37.5
50.4969,46.1
50.503,38.5
50.5154,48.9
50.5314,25.8
50.5336,33.9
50.5422,35.3
50.5427,42
50.5441,55.9
50.5466,37.5
50.5472,29
50.5862,37.1
50.5882,43.1
50.5942,39.6
50.6027,44.2
50.6057,42.5
50.615,43.6
50.6316,31.7
50.6475,58.7
50.6489,14.7
50.65,34.8
50.655,47.2
50.6687,47.2
50.6715,55.4
50.7006,71.2
50.7025,38.6
50.7199,24.4
50.7235,35.5
50.7333,18.4
50.7408,37.7
50.7467,39.1
50.7487,17.5
50.7669,40.7
50.777,39
50.7866,45.8
50.7926,48.7
50.798,33.3
50.8169,38.7
50.8264,37.9
50.8275,31.6
50.8489,43.8
50.8564,36.9
50.8764,40
50.8968,76.9
50.9063,35.5
50.926,45.9
50.9266,71.7
50.9309,41.5
50.9323,58
50.9329,57
50.9637,46.5
50.9747,45.4
50.976,41.4
50.9822,38.8
50.9882,41.8
50.9941,52.2
50.9949,48.1
51.0036,39.5
51.0084,38.8
51.0141,34.4
51.0362,53.9
51.0393,58
51.0482,50.4
51.07,53.6
51.085,39.6
51.1021,32.9
51.1035,32
51.1103,42.5
51.1134,60
51.1143,37.2
51.1157,42
51.1199,37.2
51.1579,18.2
51.1695,24.2
51.192,69.4
51.1932,40.3
