SPECTRUM - MS,
lav_QC_1.RAW,
FTMS - p ESI Full ms [50.00-1000.00],
Scan #: 1-42,
RT: 0.01-1.96,
AV: 42,
m/z,Intensity

50.0327,40.9
50.0353,54.4
50.0552,34.3
50.0735,88.7
50.0769,29.4
50.0783,77.7
50.0793,60.3
50.095,37.5
50.1051,41.5
50.1163,27.7
50.1255,27.4
50.1295,58.2
50.1492,36.4
50.1553,26.3
50.1594,34.5
50.166,30.2
50.1683,28.1
50.171,30.2
50.1746,53.9
50.1855,45.1
50.2316,32.3
50.2389,27.4
50.2454,23.3
50.2657,34.9
50.2866,32.1
50.287,98.7
50.2875,26.4
50.2921,23.8
50.3054,26.7
50.3095,28.2
50.3308,35.2
50.3387,40.2
50.346,47.9
50.3554,73.1
50.3633,28.1
50.3653,27.3
50.3737,34.9
50.3813,38.3
50.3868,26.5
50.3888,27.9
50.4006,52.8
50.4276,37.8
50.4521,36.2
50.4585,80.8
50.4629,33.1
50.4646,32.9
50.4903,44.7
50.5033,31.5
50.5161,29.4
50.5528,33.3
50.577,29
50.5944,28.2
50.5982,26.6
50.6012,31.2
50.6218,32.5
50.6231,60.4
50.6269,26.5
50.6377,23.5
50.6403,36.7
50.678,76.1
50.6803,41.6
50.6851,27.9
50.6983,30.7
50.7006,29
50.7091,38.6
50.714,36.9
50.7173,46.7
50.7182,31.5
50.7272,31.6
50.7299,34.4
50.7352,40.8
50.752,27.9
50.7578,38.2
50.7782,53.5
50.8095,31.4
50.8199,28.4
50.8513,84.3
50.8555,50.8
50.8574,40.3
50.8805,30.8
50.891,28.3
50.8955,40.7
50.9135,28.7
50.9223,39.1
50.923,37.7
51.0099,30.1
51.0362,47.2
51.0463,39.2
51.047,68.1
51.0534,88.8
51.0572,44.4
51.0863,83.5
51.1005,32.5
51.1286,32.7
51.1393,32.9
51.203,28.1
51.2242,29.7
51.2294,30.1
51.23,36.4
51.2428,48.9
51.2537,24.7
51.2615,56.3
51.2705,34.8
51.2711,22.1
51.2755,78.1
51.2848,94.7
51.2866,57.5
51.291,27.3
51.2939,28.8
51.2997,46
51.3221,31.4
51.3228,84.8
51.3316,21.9
51.3432,35.3
51.3745,32.6
51.3768,74.8
51.378,27.5
51.3946,23.2
51.4028,24.6
51.406,35.8
51.4067,40
51.4099,93.7
51.4174,22.6
51.4178,27.4
51.4191,39.2
51.4207,38.4
51.4267,40.2
51.4317,26.8
51.4483,28.5
51.4505,58.1
51.4544,27.8
51.4604,34.7
51.4692,48.9
51.4796,30
51.4832,38.9
