SPECTRUM - MS,
lav_278.RAW,
FTMS + p ESI Full ms [50.00-1000.00],
Scan #: 1-36,
RT: 0.01-1.96,
AV: 36,
m/z,Intensity

50.0097,20.9
50.037,21.3
50.0396,24.2
50.0464,35.4
50.0695,18.8
50.0712,27
50.0741,19.2
50.0992,20.4
50.1194,21.9
50.1251,18.7
50.1278,17.5
50.1326,18.8
50.1351,25.9
50.1571,21.9
50.158,23.5
50.1618,18.5
50.18,29.9
50.1912,19.2
50.2005,21
50.2043,20.2
50.2319,24.5
50.2333,23.4
50.2382,21.8
50.2442,17.6
50.2498,23.6
50.2714,23.9
50.2741,18.8
50.2784,17.4
50.2892,31.6
50.2979,19.8
50.3046,25.6
50.3135,29.4
50.3408,25.3
50.3628,17.9
50.4112,21.5
50.4251,29
50.4289,22.1
50.4354,24.3
50.4459,23.5
50.5073,18.4
50.5185,21
50.5209,30.2
50.526,25.5
50.5272,23.1
50.5278,30.6
50.533,22.7
50.5337,18.6
50.5462,21.4
50.5511,20.1
50.5542,20.3
50.5614,19.1
50.5673,26.7
50.5692,18.7
50.5847,26.5
50.6126,23.7
50.6141,19.9
50.6193,19.6
50.6209,19
50.6455,23.8
50.6469,20.4
50.6622,17.5
50.7092,19.2
50.7118,23.5
50.7322,23.2
50.7329,20.3
50.7392,19.4
50.7455,23.1
50.7499,32.2
50.7515,23.7
50.753,19.5
50.7694,20
50.7874,22.2
50.8025,18.5
50.8048,21.2
50.809,16.9
50.8166,22
50.824,21.7
50.8338,20.5
50.8461,17.8
50.8697,20.3
50.9052,20
50.9059,19.1
50.9131,18.3
50.9372,19.3
50.9414,23.5
50.9424,23.5
50.9781,18.6
50.987,18.8
51.0156,22.1
51.0166,26.6
51.0213,32.5
51.0219,43
51.0311,26.5
51.0621,20.1
51.0632,18
51.0671,42.1
51.0956,26
51.1113,28.3
51.1143,25.9
51.1184,20.3
51.1208,17.8
51.1256,20.5
51.131,22.6
51.1339,20.3
51.1434,21.3
51.1659,19.6
51.1971,21.2
51.1985,21.5
51.2016,32.7
51.2183,19.8
51.2269,23.1
51.2372,20
51.2376,16.9
51.241,24.4
51.2542,19.8
51.2718,21.1
51.2756,18.5
51.2911,17.7
51.2995,19.8
51.3012,19.5
51.3051,16.9
51.3282,21.8
51.3344,18.3
51.3514,20.9
51.4008,19
51.4035,23.3
51.4118,22.5
51.416,31.6
51.4388,22.7
51.4445,19.4
51.4679,21.5
51.4696,24.6
51.4799,20.5
51.4813,20.7
51.4896,25.3
51.4965,17.7
51.5014,19.3
51.5042,25.1
51.5215,18.8
51.5247,17.6
51.5453,19.7
51.5496,19.6
51.5662,21.9
51.5681,20.7
51.605,18.5
51.6369,19.8
51.6426,20.7
51.6436,23.1
51.6475,24.8
51.6604,26.6
51.6743,20.2
51.6795,18.4
51.6839,17.3
51.6867,19.6
51.6923,19.1
51.6942,16.6
51.7492,17.5
51.7617,18.9
51.767,20.5
51.7783,22.1
51.7857,20.9
51.792,19
51.8077,18.6
51.8216,22.4
51.828,18.4
51.8454,19.5
51.856,19.9
51.8594,26
51.876,17.3
51.8955,19.3
51.9096,19.7
51.922,43.6
51.9274,23.3
51.9341,19.4
51.9546,20.1
51.9563,18.6
51.9571,18.7
51.964,21.6
51.9851,19.9
52.0039,18.8
52.031,21.3
52.0442,20.3
52.0456,20.9
52.0565,18.4
52.0775,21.2
52.1014,20.2
52.1032,18.9
52.1152,19.7
52.1243,19.8
52.1267,22.9
52.1277,19
52.1324,30.3
52.1339,18.8
52.1483,29.1
52.1515,19.1
52.1519,25.1
52.1554,22.5
52.174,17.3
