SPECTRUM - MS,
703.RAW,
FTMS + p ESI Full ms [50.00-1000.00],
Scan #: 1-39,
RT: 0.01-1.98,
AV: 39,
m/z,Intensity

50.0142,30.8
50.0282,39.8
50.0351,113.8
50.0458,49.9
50.0643,52.2
50.0745,27.8
50.0977,35.4
50.1148,216.9
50.1242,32.1
50.1482,194
50.1515,58.9
50.1681,367.3
50.1719,378.8
50.1752,26.1
50.1871,32.1
50.1889,27
50.1964,56.3
50.2102,94.6
50.2189,32.6
50.2193,45.6
50.2265,528.6
50.2537,36.1
50.2544,155.8
50.2757,26.2
50.2822,28.3
50.3078,25
50.317,27.3
50.3287,37.7
50.3367,31.4
50.3419,48.4
50.3446,22.9
50.368,30
50.3713,238.2
50.3944,137.3
50.4117,286.9
50.4244,27.4
50.4306,17.1
50.4316,35.2
50.4343,96.4
50.4368,27.3
50.438,48.1
50.4439,221.5
50.4568,24.7
50.4679,54.2
50.4839,25.2
50.4878,26.2
50.4937,23.6
50.5032,49.5
50.5064,118.5
50.5109,609.1
50.5124,26.9
50.5143,763.8
50.5171,178
50.5339,25.9
50.5345,61.4
50.5355,382.8
50.5659,22.9
50.5994,26.9
50.6252,230.6
50.6345,331.4
50.6349,415.9
50.6358,33.1
50.6445,197.4
50.6473,27.8
50.6829,16.9
50.699,21.7
50.7119,112.8
50.7422,112.7
50.7838,116.9
50.7887,20.1
50.8279,25.8
50.8517,25.3
50.8628,57.9
50.8844,25.7
50.8927,251
50.8951,40.6
50.8988,377.4
50.9008,19
50.9074,519
50.9084,24.7
50.9256,40.5
50.9322,45.1
50.9346,121.5
50.9358,45.1
50.9365,27.6
50.9386,124.4
50.9493,122.7
50.9583,204.1
50.9596,96.6
50.9848,29.2
51.0222,32.8
51.0271,53.2
51.0393,55
51.0462,220.1
51.0564,41.8
51.0637,443.1
51.067,35
51.0692,92.4
51.0944,439.9
51.0968,26.5
51.0991,431.1
51.0998,109.3
51.1251,33
51.131,30.9
51.1319,435.8
51.1528,29.1
51.1624,41.9
51.1662,97.2
51.1952,372.6
51.2067,15.6
51.2209,29.8
51.2499,163.5
51.252,129.3
51.2533,38.8
51.255,27.2
51.2599,17.9
51.2706,55.1
51.2761,28.1
51.2922,28.6
51.3265,56.9
51.345,124.5
51.3468,50.4
51.3481,48.9
51.3641,240.1
51.3651,17.2
51.3679,102.7
51.4071,28.6
51.4206,370.5
51.4217,591.9
51.4295,57.7
51.4404,32.7
51.4617,24.4
51.4716,99
51.4723,31.8
51.4799,365.9
51.4861,24.6
51.4901,30.5
51.4913,126.5
51.4963,205.6
51.5031,131.5
51.5045,38.4
51.5104,21.9
51.5109,26.1
51.5245,23.8
51.5269,261.5
51.5272,37.3
51.5576,26.3
51.5619,17.2
51.5703,118.9
51.5736,445.9
51.5751,25.1
51.5828,19
51.5837,16.6
51.5885,24.6
51.5934,52.8
51.6045,25
51.6154,27
51.6225,125.8
51.6377,124.9
51.6397,29.4
51.6495,40.9
51.6787,142.6
51.6911,27.8
51.6912,34.1
51.6914,30.5
51.6921,23.8
51.6949,52.7
51.723,242.7
51.7265,428.6
51.7331,23.8
51.7356,113.5
51.7463,31.6
51.7567,56.8
51.7603,32
51.7684,78.1
51.7733,44.6
51.7839,35.2
51.7966,209.3
51.8069,130.9
51.8159,21.6
51.8318,653.5
51.8491,149
51.8554,26
51.8818,74.5
51.8884,185.8
51.8932,28.6
51.9033,717.3
51.9097,29
51.9167,28.6
51.9561,24
51.9617,25.4
51.9652,26.6
51.9757,23.6
51.991,588.2
51.9924,67.1
52.005,27
52.0216,119
52.0283,36.7
52.0361,371.2
52.0415,30.3
52.0711,35.7
52.0761,64.3
52.0784,54.1
52.086,480.1
52.1093,31.1
52.1326,196.1
52.1352,26.8
52.1363,24.2
52.145,513.1
52.168,70.3
52.1767,24.4
52.177,27.5
52.1857,31.8
52.2027,425.6
52.2092,202.2
52.2259,64.6
52.2275,41.3
52.2347,29.1
52.2466,183.9
52.2555,342
52.2967,111.5
52.3123,23
52.3153,28.6
52.3176,22.8
52.3178,22.4
52.323,118.8
52.3297,252.9
52.3585,196.8
52.364,33.2
52.3702,18
52.3804,44.1
52.409,78.8
52.4246,383.6
52.4423,24.7
52.4431,96.3
52.4436,32.2
52.4571,32.7
52.4618,36.5
52.4623,114
52.4675,55
52.4934,104
52.5254,63.5
52.5484,329.3
52.5625,42.6
52.5645,104.7
52.5816,112
52.5847,22.7
52.586,45.6
52.596,428.2
52.6141,315.8
52.6206,40
52.6381,453
52.6425,107.8
52.6708,82.3
52.6885,191
52.6942,26.4
52.7117,312.6
52.7124,27.6
52.7143,36.1
52.7163,121.9
52.718,55.5
52.727,25.9
52.7331,39.3
52.7393,135.7
52.7402,31.1
52.7789,33
52.792,57
52.7932,122.5
52.7955,2775.3
52.7961,2885.6
52.7969,909.2
52.7985,92.9
