SPECTRUM - MS,
QC_2.RAW,
FTMS + p ESI Full ms [50.00-1000.00],
Scan #: 1-40,
RT: 0.01-1.97,
AV: 40,
m/z,Intensity

50.003,307.9
50.0223,616.4
50.0388,420.5
50.0412,245.1
50.0769,124.3
50.0794,17.7
50.1114,16.9
50.1125,317.8
50.1232,198.5
50.1307,538.8
50.1315,196.7
50.1514,106.1
50.163,70.9
50.1739,448.8
50.1777,85
50.1812,252.2
50.1822,236.4
50.1896,484.1
50.1929,222.7
50.2015,126.2
50.2042,73.8
50.2125,151.9
50.2129,89.1
50.2219,336.8
50.2264,539.2
50.2276,68.5
50.2462,16.5
50.2697,415.7
50.2755,20
50.2816,540.5
50.2914,101.6
50.3006,319.4
50.3162,185.4
50.3297,119.4
50.3324,16.8
50.3361,625.5
50.3449,21.6
50.3572,495.6
50.3593,114.7
50.3631,86.6
50.3711,659.2
50.3756,89
50.3782,34
50.4096,415.9
50.4164,95.1
50.4382,16.3
50.4389,552.1
50.4406,149.2
50.4483,217.7
50.471,18.2
50.4902,110.7
50.4904,95.7
50.5013,347.4
50.5019,689
50.5179,88.8
50.5252,565.1
50.5275,144.2
50.5309,481.1
50.5532,76.6
50.5705,102.5
50.5877,594.7
50.6131,563.7
50.627,78.4
50.6317,31.1
50.6373,459.9
50.6466,79.1
50.6598,94.8
50.686,140.7
50.7024,193
50.7175,428.1
50.7285,504.6
50.7293,184
50.73,115.1
50.7751,67.3
50.7772,21.1
50.7776,85.9
50.8045,164.3
50.8092,561.1
50.814,607.3
50.8315,87.2
50.8465,302.2
50.8537,390.8
50.8917,86.2
50.896,300.9
50.8999,124
50.9437,540.4
50.9642,156.3
50.9647,134
50.9723,156.4
50.9735,98.3
50.9934,106.6
50.994,87.3
50.9963,106.7
51.0032,138.5
51.0094,18.1
51.0252,212.2
51.0433,158.9
51.0446,303.9
51.048,238.7
51.0494,184
51.0565,247.6
51.0573,126.2
51.062,148.6
51.0691,118
51.0694,319.7
51.0922,122.7
51.1046,223.6
51.1057,792.4
51.1071,112.5
51.1086,176.3
51.1201,29.5
51.1437,395.4
51.1473,80
51.1587,185.1
51.1613,439.9
51.1794,87.4
51.183,121.1
51.1878,407.7
51.1935,112
51.1955,293.2
51.1981,182.3
51.2024,745.1
51.2338,71.7
51.2467,26
51.2531,212.8
51.2818,187.1
51.316,416.9
51.3186,176.3
51.3197,320
51.3232,573.8
51.3317,89.3
51.3405,273.1
51.3761,512
51.3774,100.2
51.3779,85.4
51.3809,97.5
51.3871,275.3
51.3969,83.6
51.3985,262.9
51.3988,150.5
51.4002,70.8
51.4329,775.4
51.4452,63.3
51.4586,183
51.4599,86.3
51.4631,131.6
51.4716,700.4
51.4827,208.3
51.4931,183.1
51.508,568.7
51.515,512.6
51.5428,336.5
51.5738,334.8
51.5789,200
51.5889,770.3
51.6102,308
51.6141,577.6
51.6154,149.9
51.6281,18
51.6354,122.9
51.6382,99.8
51.6407,515.4
51.6517,504.5
51.661,102.2
