SPECTRUM - MS,
lav_QC_7.RAW,
FTMS + p ESI Full ms [50.00-1000.00],
Scan #: 1-36,
RT: 0.01-1.97,
AV: 36,
m/z,Intensity

50.0064,18.5
50.0107,18.4
50.0122,16.8
50.0147,21.7
50.0171,17
50.0191,23.5
50.0246,32.5
50.0265,34.2
50.0403,21.3
50.0459,18.5
50.0516,18.5
50.0518,16.2
50.054,19.9
50.0821,17.3
50.0926,30.7
50.1106,22.5
50.1228,17.3
50.1246,18.6
50.1268,17.2
50.1278,18.7
50.1306,19.8
50.1473,22.2
50.1517,21.1
50.1841,18.5
50.1869,17.6
50.189,19.2
50.2035,30.5
50.2061,20.3
50.2149,22.2
50.2163,18.8
50.2331,17.7
50.2544,25.4
50.2597,17.6
50.2668,22.3
50.2761,18.9
50.2817,17.7
50.2934,22.3
50.2984,18.1
50.324,18.3
50.3582,19.9
50.3722,25.5
50.3811,19.7
50.3841,19.3
50.4045,16.8
50.4211,17.4
50.4222,20.6
50.4233,18.1
50.4304,20.9
50.44,22.4
50.4614,17.7
50.4836,16
50.4958,17.8
50.5038,20.9
50.5275,19.2
50.529,21
50.5425,18
50.5613,20.8
50.5615,28.6
50.5728,31.9
50.585,21.1
50.5929,23.5
50.6212,17.5
50.6221,20.1
50.6246,20.6
50.6311,18.3
50.6325,24.5
50.6365,23.4
50.6507,18.1
50.6539,26.5
50.6631,24.4
50.6636,27.4
50.6959,37.5
50.7078,27.9
50.7171,21.6
50.7318,18.7
50.7379,19.1
50.7427,24.7
50.7511,19.5
50.7521,23.2
50.7855,22.3
50.7908,29.5
50.7934,24
50.7974,20.4
50.8033,18.7
50.8041,21.9
50.8071,19.4
50.8082,19.2
50.8108,23
50.813,21.1
50.815,18.6
50.8258,17.6
50.8281,17.2
50.8391,30.1
50.8403,18.1
50.8432,33.4
50.8475,22.5
50.8484,21.3
50.8512,21
50.8558,25.5
50.8643,17.6
50.8697,27.9
50.8741,19.5
50.8752,18.9
50.8773,24.1
50.936,28.1
50.9417,19.6
50.9671,24.1
50.9706,19.1
50.9778,19.9
50.9808,18.2
50.9813,27.3
50.9884,18.2
50.9922,18
51.0084,17.9
51.0269,18.9
51.0438,18.3
51.0452,19.3
51.0474,20.2
51.0816,27.5
51.0893,21
51.0929,19.3
51.1207,21.3
51.1216,19.5
51.1259,23.1
51.1327,29.3
51.1872,19.2
51.1954,18.7
51.1966,19.3
51.2019,20.7
51.2151,21.7
51.2169,18.3
51.2297,19.9
51.2576,23.4
51.2761,19.2
51.2853,19
51.3174,18.2
51.3237,24.1
51.3355,20.7
51.3647,18.5
51.3671,20.2
51.3705,18.9
51.3734,26.7
51.3789,20.6
51.3865,21
51.396,23.2
51.3974,34.3
51.4033,18
51.4093,18.5
51.4171,18.6
51.4331,17.2
51.4455,21.6
51.4688,21.3
51.4692,19.2
51.4864,18.6
51.4955,17.5
51.4979,19.7
51.5001,19.9
51.5063,19.6
51.5085,20.3
51.5228,16.5
51.5318,21.9
51.5369,18.7
51.5402,19.9
51.5424,17.9
51.5544,18.3
51.5702,25.9
51.5782,15.9
51.597,19.1
51.5973,17.5
51.605,28.3
51.6103,20.9
51.6108,19.9
51.6358,19.8
51.6514,20.5
51.6634,17.2
51.6715,31.9
51.6813,21.3
51.6864,18.3
51.6984,17.8
51.7241,24
51.7285,26.3
51.7361,22.7
51.7581,18.5
51.7722,19.3
51.7888,17.1
51.8261,17.5
51.834,19.4
51.8376,19.6
51.8392,26.6
51.8456,19.6
51.8485,20.9
51.8643,30.8
51.8669,33.2
51.879,20
51.8826,19.3
51.8839,18.1
51.8968,21.3
51.9043,19.3
51.9128,25.1
51.9138,16.4
51.9385,17.6
51.9471,17.6
51.9548,23.4
51.9563,18.5
51.9594,18.8
51.9643,20.3
51.9846,17
52.0196,24.1
52.0245,20.4
52.029,19.5
52.0409,18
52.045,17.3
52.0635,19
52.0677,27.8
52.0681,19.5
52.0817,17.9
52.1029,18.1
52.1059,19.1
52.1202,26
52.1548,17.2
52.1615,19.7
52.1677,25.3
52.171,19.1
52.1937,17.3
52.1945,18.1
52.1951,24.2
52.199,20
52.2033,17.7
52.2144,17.6
52.2909,17.9
52.3138,30.4
52.3383,19.9
52.3413,16.4
52.3415,16.3
52.354,17.3
52.3665,26.7
52.4497,18.3
52.4908,20.1
52.5573,20.3
52.5582,17.5
52.5604,19.6
52.5805,20.8
52.5924,18.3
52.6034,18.6
52.6046,27.3
52.606,29.1
52.6226,19.1
52.6301,26.1
52.6356,18.3
52.6491,23.8
52.6611,19
52.6736,29.8
52.6968,21.5
52.7104,19.6
52.7122,26.5
52.7289,22.7
52.7298,24.7
52.7311,24.9
52.7406,17.6
52.765,19.6
52.7667,18.7
52.7932,28.9
52.7936,34.3
52.7945,35.9
52.7954,222.6
52.7959,190.2
52.7964,142.4
52.7968,170.8
52.7973,143.5
52.7977,76.5
52.7981,63
52.7985,83.7
52.7995,55.2
52.7998,63.5
52.8003,38.7
52.8228,21.5
52.8295,18.3
52.8301,17.9
52.8402,18.9
52.8418,24.6
52.8675,18.1
52.8719,20.3
52.8746,20.3
52.878,19.2
52.8829,20.9
52.8897,19
52.9055,21
52.9133,18.8
52.9343,21.5
52.9419,18.3
52.9461,17
52.9477,17.8
52.9619,19.9
53.0013,22.3
53.0019,17.9
53.0025,20.3
53.0036,22.4
53.0145,18.7
53.0335,27.5
53.0442,27.8
53.0474,20.6
53.0496,26.2
53.0577,17.5
53.0648,17.8
53.1115,17.9
53.1529,16.9
53.1588,19.6
53.1805,23.2
53.2151,28.9
53.2387,23.6
53.2576,17.1
53.2613,19
53.2687,18.8
53.2709,23.1
53.2726,17.2
53.2931,17.9
53.2981,16.7
53.3238,17.7
53.3445,20.1
53.3457,18.5
53.3524,18.2
53.3555,18.2
53.365,20.9
53.37,19.7
53.3818,17.3
53.3857,19.8
53.4006,18.4
53.4104,19
53.4207,19.8
53.4273,27.2
53.4343,16.3
53.4353,21.1
53.4394,17.8
53.4658,19.7
53.5004,32
53.5191,19.7
53.5342,20.4
53.5376,20.5
53.5418,27.3
53.553,18.4
53.5558,18.5
53.5562,32.4
53.5625,22.5
53.6034,18.6
53.6442,20.9
53.6595,24.6
53.6704,18.8
53.6712,17.1
53.681,33.9
53.686,20.3
53.7033,22.7
53.7178,25.1
53.7184,21.2
53.7301,22.1
53.7438,17.5
53.7491,16.5
53.7634,28.2
53.7773,20
53.8073,18.3
53.8081,17.9
53.8134,19.8
53.8239,23.6
53.8387,19.4
53.8905,19.3
53.8973,24.1
53.9027,20.2
53.9051,20.1
53.9062,18.1
53.9261,18.3
53.9277,25.5
53.9346,18
53.9515,21.6
53.9772,19.7
54.0347,17.2
54.0356,18.4
54.0443,21.9
54.0555,17
54.0636,18.2
54.0663,17.8
54.0721,18.6
54.0726,16.5
54.0948,18.8
54.1066,18
54.1125,20.2
54.114,18
54.1363,18.1
54.138,18.9
54.1526,19.9
54.2042,17.7
54.2099,20.6
54.218,18.5
54.2215,25.1
54.2343,24.8
54.2366,20.8
54.2493,20
54.2545,21.6
54.2808,18.8
54.2961,35.8
54.3006,20.1
54.3026,20.3
54.3034,17.2
54.3102,18.1
54.3501,38.6
54.3514,21.2
54.3647,20
54.3654,17.3
54.3664,63.1
54.3698,22.1
54.3774,20.9
54.3791,20.7
54.3906,17.9
54.4052,19.5
54.4253,22.4
54.4265,26.3
54.4335,19
54.4378,19.9
54.445,19.1
54.471,28.6
54.4897,19.2
54.4961,22.7
54.5132,23.8
54.5141,19.9
54.5144,17.8
54.5247,18.6
54.5334,19
54.5454,23
54.5625,19.1
54.586,17.2
54.5877,18.6
54.5923,21.2
54.6243,16.5
54.6529,19.3
54.6838,29.9
54.7321,19.5
54.7362,20.2
54.7505,24.6
54.7536,16.8
54.7612,18.1
54.7692,30.6
54.7797,37
54.813,18.4
54.8135,19.7
54.8246,18.2
54.8263,27.6
54.8295,18.3
54.844,21.9
54.8452,22.1
54.8513,20.8
54.8906,18.2
54.9015,21.2
54.9181,17.7
54.9336,18.4
54.9453,20.2
54.9552,20.3
54.9652,19.6
54.9688,17.9
54.9858,18.2
54.9928,18.1
54.9966,18.3
55.0038,17.6
55.0221,17.8
55.048,17.6
55.05,17.3
55.0747,25.6
55.076,17.7
55.0815,19.8
55.1188,18.3
55.1289,22
55.13,21.2
55.133,20.2
55.137,26.8
55.1708,18.5
55.182,18
55.1877,33.6
55.1959,18.4
55.1991,17.3
55.2012,18.9
55.2185,18.3
55.2327,24.4
55.2562,20.5
55.267,16.5
55.2845,18.8
55.2916,23.3
55.3008,24.6
55.3117,19.6
55.3379,19.7
55.402,19.7
55.4031,18.5
55.406,35.7
55.4162,20
55.4584,19.6
55.4641,18.2
55.469,20.5
55.4751,21.8
55.4807,28.4
55.4878,19.2
55.491,28.2
55.4955,17.6
55.5101,19
55.5159,19.8
55.5167,16.7
55.5796,18.9
55.5805,27.5
55.5971,18.9
55.5991,18.1
55.6065,19.8
55.6511,21.4
55.6591,23
55.6735,25.1
55.6892,17.1
55.695,20.6
55.7124,19.4
55.7135,20.4
55.7156,16.8
55.7216,18.1
55.7546,19.6
55.7607,20.9
55.785,18.1
55.7854,18.1
55.794,20.3
55.7978,22.5
55.813,21.4
55.8165,19
55.8176,22.8
55.8251,17.6
55.827,17.9
55.8272,21.1
55.8283,18.6
55.8336,18.3
55.8597,18.1
55.8729,26.7
55.8932,20.5
55.9357,16.8
55.9802,20.5
55.9937,19
55.9986,21.8
55.9999,19.2
56.0119,20
56.0243,20.8
56.0296,19
56.0327,16.4
56.0512,21.3
56.0523,22.8
56.0657,17.9
56.0863,17.6
56.0888,18.7
56.1006,36.8
56.1109,18.2
56.129,17.4
56.1452,20.3
56.149,19.8
56.1538,25.6
56.1658,20
56.1937,20.2
56.1993,16.6
56.2271,19.8
56.2383,24.6
56.2522,17.8
56.2545,20.3
56.2814,18.6
56.2871,16.7
56.2931,21.6
56.3119,21.2
56.3137,19.4
56.3217,21.2
56.323,22.5
56.3362,21.7
56.3372,17.5
56.339,22.6
56.3471,16.3
56.3534,19.4
56.3638,20
56.3735,20.4
56.3823,18.4
56.3939,22.2
56.398,17.4
56.4373,22.9
56.4455,17.8
56.451,17.8
56.4564,31
56.4836,21.7
56.493,22.1
56.4996,18
56.5191,17.6
56.5195,18.7
56.5233,20.1
56.5546,20.1
56.5579,17.7
56.5653,20
56.5904,18.7
56.5933,49.7
56.5965,20.1
56.6115,21.3
56.6244,17.7
56.6281,18.6
56.6524,18.8
56.706,19.6
56.7387,22.3
56.7629,20.3
56.7712,25.4
56.7755,20.7
56.7859,17.8
56.787,19.6
56.7875,20.5
56.7908,18
56.8071,20.4
56.8239,27.9
56.8292,18
56.8481,20.4
56.8541,17.7
56.8559,20.4
56.872,21.4
56.8797,21.6
56.9082,17.4
56.9223,33.3
56.9233,20.2
56.9317,23.9
56.9487,35.5
56.9533,22.7
56.9622,22.3
56.9861,26
56.989,18
57.0123,18.2
57.0144,19.9
57.0545,19.7
57.0667,18
57.0798,19.1
57.1101,27.5
57.128,19.7
57.1344,19.1
57.1636,19.6
57.1646,19.8
57.1687,17.3
57.1764,20.5
57.1841,18.3
57.1981,18
57.2032,16.7
57.2189,21.5
57.2195,20.5
57.2199,18.8
57.2241,18.4
57.2253,17.8
57.2436,18.5
57.2452,19.9
57.2657,17.9
57.2716,18.9
57.2984,18.6
57.3023,17.9
57.3048,20
57.328,19.4
57.3366,18.9
57.3648,22.2
57.3882,31.1
57.3985,18.1
57.4022,23.1
57.4255,25.8
57.4296,28.3
57.4362,18.4
57.4428,17.9
57.4492,23
57.4763,28
57.4812,21.5
57.4847,20.6
57.5004,21.1
57.5169,35.6
57.5347,19.4
57.5378,34.1
57.547,21.6
57.5558,21.4
57.5803,20.8
57.5832,19.6
57.5972,29.7
57.6111,20.5
57.6406,19.7
57.6952,16.8
57.7027,37.1
57.7055,21.3
57.7152,19.7
57.7381,18.2
57.7408,42.6
57.7409,42.6
57.7426,27.4
57.7533,20.6
57.7771,19.1
57.7995,19.2
57.8154,15.8
57.8303,18.6
57.8414,19.5
57.8476,18.6
57.8519,19.4
57.8661,17.9
57.8694,24.1
57.8833,18.1
57.8877,24.2
57.8909,19.2
57.919,19.9
57.9195,19.3
57.9514,25.1
57.9618,18.1
57.9738,18.5
58.0069,19.3
58.0203,17.5
58.0284,18.3
58.0509,21.3
58.0627,22.1
58.0631,17.6
58.0749,21.9
58.0828,19.9
58.0885,17.3
58.0894,23.8
58.1027,30.2
58.1084,27
58.1186,20.8
58.1552,21.2
58.1572,17.5
58.1615,20.5
58.1643,23.5
58.1711,21.5
58.1806,17.9
58.1885,21.2
58.1901,18.5
58.1919,22.6
58.1965,16
58.1984,26.8
58.201,21.4
58.2021,17
58.2059,19.3
58.2225,19.2
58.2257,34.2
58.2329,18.3
58.2426,17.9
58.2569,17.3
58.2594,22.1
58.2865,27.8
58.2976,18.7
58.2993,29
58.314,18.2
58.3178,19.6
58.3313,20
58.3545,21.3
58.3864,21.9
58.4073,48.8
58.426,19.5
58.4265,23.1
58.4415,23.8
58.5261,20.8
58.5267,19.9
58.531,19.6
58.5452,18.5
58.5639,18.5
58.5715,21.3
58.5815,21.9
58.6036,18
58.611,26.4
58.6206,24.3
58.644,30.7
58.6538,21.4
58.6815,25.9
58.7049,17.3
58.7139,19.5
58.7144,18.2
58.7245,18.1
58.731,20.3
58.7321,19.4
58.7328,20
58.7427,17.8
58.747,41
58.7473,20.3
58.7554,22.3
58.7771,20.8
58.7806,17.6
58.7819,18.9
58.7958,21.2
58.8049,21.2
58.8156,17.6
58.8351,17.5
58.8756,22.2
58.8802,23.6
58.8835,18.4
58.9132,16.8
58.9273,17.6
58.9279,21.6
58.9304,17.5
58.9465,16.9
58.9501,27
58.9531,41.8
58.9589,17
58.9676,19.2
58.9757,19.7
58.978,19.6
58.9947,18.3
58.9951,20.1
59.0073,29
59.0104,17.9
59.024,21.8
59.033,20.6
59.0351,19.8
59.0411,16.7
59.043,18.1
59.0441,18.4
59.0585,20.2
59.0767,19
59.0856,19.3
59.0872,25.7
59.0965,22.3
59.105,18.9
59.1103,21.2
59.1439,17.6
59.1764,23.2
59.1925,19.3
