#"-ESI Scan (rt: 0.052-1.014 min, 80 scans) Frag=175.0V 14B.d "
#Point,X(Thompsons),Y(Counts)
0,50.0007,5.43853187561035
1,50.0043,2.76531267166138
2,50.0077,5.47160053253174
3,50.0119,5.12569189071655
4,50.0154,3.984459400177
5,50.0182,11.103006362915
6,50.0257,13.1512041091919
7,50.0308,4.36928176879883
8,50.0335,10.9098634719849
9,50.0376,11.4705362319946
10,50.0417,2.98182153701782
11,50.0454,5.58913707733154
12,50.0506,28.3053245544434
13,50.0584,4.84097194671631
14,50.0610,6.98260879516602
15,50.0647,3.10252070426941
16,50.0686,9.96334266662598
17,50.0754,2.6845588684082
18,50.0797,2.74540853500366
19,50.0839,22.9357681274414
20,50.0868,10.2415313720703
21,50.0919,14.8443965911865
22,50.0957,20.3813667297363
23,50.1034,6.88146448135376
24,50.1081,4.07224035263062
25,50.1120,2.96287870407104
26,50.1153,20.2753658294678
27,50.1200,22.305154800415
28,50.1245,7.75578451156616
29,50.1276,5.57324409484863
30,50.1326,7.92261743545532
31,50.1369,18.4836235046387
32,50.1413,11.8155651092529
33,50.1481,10.3602800369263
34,50.1535,3.17566967010498
35,50.1564,13.9324283599854
36,50.1592,14.5344362258911
37,50.1625,8.02666568756104
38,50.1680,18.5164470672607
39,50.1718,6.64033651351929
40,50.1764,16.1269969940186
41,50.1803,8.04365253448486
42,50.1845,5.4809045791626
43,50.1877,3.59682011604309
44,50.1911,3.36773252487183
45,50.1958,8.23712158203125
46,50.2008,11.2868824005127
47,50.2045,5.91392850875854
48,50.2085,16.2796516418457
49,50.2138,3.51633715629578
50,50.2230,3.21282839775085
51,50.2287,7.23603057861328
52,50.2341,9.72824192047119
53,50.2389,23.97825050354
54,50.2515,11.7419786453247
55,50.2631,3.11210942268372
56,50.2697,10.7572660446167
57,50.2729,14.8556423187256
58,50.2809,4.0831618309021
59,50.2847,10.3293428421021
60,50.2877,10.2391185760498
61,50.2919,2.61842679977417
62,50.2949,2.65512824058533
63,50.3005,9.99454498291016
64,50.3056,12.5021028518677
65,50.3111,9.72365283966064
66,50.3155,7.95278072357178
67,50.3208,6.2788290977478
68,50.3262,3.20289921760559
69,50.3315,20.0831775665283
70,50.3358,7.81659841537476
71,50.3427,10.2250194549561
72,50.3457,7.51625347137451
73,50.3513,6.93763113021851
74,50.3548,9.71304130554199
75,50.3598,16.1985530853271
76,50.3654,6.02310657501221
77,50.3693,18.4221038818359
78,50.3740,17.6563148498535
79,50.3773,8.47276020050049
80,50.3817,16.7420864105225
81,50.3843,11.2111186981201
82,50.3879,22.6558532714844
83,50.3929,2.69150018692017
84,50.3989,3.40001487731934
85,50.4028,13.3260478973389
86,50.4063,2.51385140419006
87,50.4108,19.6809883117676
88,50.4154,17.8710517883301
89,50.4183,3.39000010490417
90,50.4212,5.28245544433594
91,50.4275,8.21927452087402
92,50.4319,2.69387769699097
93,50.4371,13.0144290924072
94,50.4433,19.1941013336182
95,50.4484,5.26184940338135
96,50.4544,3.56238102912903
97,50.4572,8.30058574676514
98,50.4625,8.96797752380371
99,50.4660,6.2254695892334
100,50.4722,8.61447715759277
101,50.4757,15.2683563232422
102,50.4803,16.0785140991211
103,50.4842,13.9331893920898
104,50.4881,19.2730770111084
105,50.4947,15.2290468215942
106,50.4998,11.9145011901855
107,50.5063,13.5815105438232
108,50.5102,11.2895259857178
109,50.5149,8.99661636352539
110,50.5194,8.07783222198486
111,50.5275,13.7245559692383
112,50.5305,2.64531254768372
113,50.5335,16.0757713317871
114,50.5374,16.011116027832
115,50.5419,8.4427547454834
116,50.5467,8.02004241943359
117,50.5511,16.6538581848145
118,50.5561,5.97118425369263
119,50.5599,18.8106536865234
120,50.5630,8.21281242370605
121,50.5679,12.0227069854736
122,50.5729,12.7285242080688
123,50.5766,9.06173419952393
124,50.5809,15.9210634231567
125,50.5863,4.34542989730835
126,50.5928,5.16650247573853
127,50.6001,5.61623191833496
128,50.6053,3.75006794929504
129,50.6096,12.5283679962158
130,50.6147,21.6129264831543
131,50.6202,10.0173034667969
132,50.6241,17.9765777587891
133,50.6295,3.31666684150696
134,50.6330,8.11109733581543
135,50.6369,8.14038753509521
136,50.6435,8.30808734893799
137,50.6529,2.92632412910461
138,50.6587,10.3438396453857
139,50.6649,11.4390878677368
140,50.6695,6.80358123779297
141,50.6773,6.0279712677002
142,50.6841,16.1599578857422
143,50.6880,5.30159282684326
144,50.6935,2.59040188789368
145,50.6964,5.24211072921753
146,50.7148,20.6963386535645
147,50.7228,5.65496969223022
148,50.7275,15.9115171432495
149,50.7331,9.20592498779297
150,50.7406,8.01793384552002
151,50.7443,7.82544469833374
152,50.7484,3.74398159980774
153,50.7548,4.7305474281311
154,50.7602,14.0445575714111
155,50.7737,3.93612146377563
156,50.7805,7.43386363983154
157,50.7861,18.5746593475342
158,50.7950,12.5369415283203
159,50.8001,6.43406200408936
160,50.8029,4.44301271438599
161,50.8062,13.6873455047607
162,50.8137,3.57604479789734
163,50.8186,11.4815502166748
164,50.8228,14.3690004348755
165,50.8277,13.5819797515869
166,50.8356,21.9129981994629
167,50.8468,5.65150260925293
168,50.8531,2.75785803794861
169,50.8601,4.95017862319946
170,50.8661,12.1418972015381
171,50.8724,8.49645805358887
172,50.8752,3.67715525627136
173,50.8838,32.1606597900391
174,50.8872,3.00527954101563
175,50.8933,5.052809715271
176,50.9001,2.76553511619568
177,50.9060,18.7481822967529
178,50.9087,9.39685821533203
179,50.9141,11.1193284988403
180,50.9205,3.47994470596313
181,50.9249,6.47885417938232
182,50.9277,11.3271865844727
183,50.9326,2.56963992118835
184,50.9372,8.68747043609619
185,50.9410,7.09045171737671
186,50.9454,7.96552753448486
187,50.9483,5.0528621673584
188,50.9558,31.2822780609131
189,50.9636,5.28066921234131
190,50.9663,5.82756805419922
191,50.9720,15.6972961425781
192,50.9760,23.3817367553711
193,50.9816,24.2390899658203
194,50.9929,8.65577507019043
195,50.9965,5.78089809417725
196,51.0017,3.08889818191528
197,51.0101,22.0556945800781
198,51.0160,7.39791250228882
199,51.0238,17.5162086486816
200,51.0281,15.6245851516724
201,51.0347,8.97606182098389
202,51.0380,10.7816743850708
203,51.0408,17.016487121582
204,51.0462,4.67150068283081
205,51.0506,11.4851779937744
206,51.0562,4.77367639541626
207,51.0617,3.9643177986145
208,51.0672,8.61026477813721
209,51.0724,15.2349729537964
210,51.0770,8.6177921295166
211,51.0830,8.9726390838623
212,51.0893,10.6847496032715
213,51.0959,3.29633069038391
214,51.0986,6.802414894104
215,51.1122,15.210334777832
216,51.1194,6.37416410446167
217,51.1273,9.17979145050049
