#"-ESI Scan (rt: 0.055-1.018 min, 80 scans) Frag=175.0V 6.d "
#Point,X(Thompsons),Y(Counts)
0,50.0012,7.21817922592163
1,50.0041,3.36984014511108
2,50.0074,20.0414390563965
3,50.0153,5.67159271240234
4,50.0205,20.9440727233887
5,50.0276,3.94622945785522
6,50.0388,9.79945850372314
7,50.0425,5.97521686553955
8,50.0476,6.53292989730835
9,50.0514,3.62635087966919
10,50.0559,4.75247955322266
11,50.0599,5.84324026107788
12,50.0627,17.2528495788574
13,50.0666,13.2781267166138
14,50.0730,8.38427925109863
15,50.0775,5.5111255645752
16,50.0820,5.14352703094482
17,50.0875,5.21645450592041
18,50.0900,9.0469970703125
19,50.0938,13.2919664382935
20,50.0977,2.54317140579224
21,50.1011,14.0052700042725
22,50.1069,14.4095916748047
23,50.1098,21.0526866912842
24,50.1185,8.47304534912109
25,50.1282,6.03175115585327
26,50.1323,2.93833255767822
27,50.1353,7.2978515625
28,50.1480,2.83906245231628
29,50.1554,2.59404754638672
30,50.1587,6.89595127105713
31,50.1659,7.50550603866577
32,50.1687,3.8396053314209
33,50.1767,12.2935180664063
34,50.1820,13.0700016021729
35,50.1961,5.125
36,50.2014,14.0378112792969
37,50.2069,10.3825588226318
38,50.2106,6.9318265914917
39,50.2141,9.50455284118652
40,50.2209,5.35004234313965
41,50.2251,7.00989818572998
42,50.2297,14.9402341842651
43,50.2428,14.9794025421143
44,50.2486,15.0138959884644
45,50.2567,5.71946382522583
46,50.2607,3.15025544166565
47,50.2681,3.02387666702271
48,50.2722,11.9819889068604
49,50.2748,15.9771013259888
50,50.2774,2.65468740463257
51,50.2807,28.5814151763916
52,50.2837,7.53600025177002
53,50.2877,16.2123107910156
54,50.2916,19.5922431945801
55,50.2972,8.8611011505127
56,50.3001,5.25945854187012
57,50.3051,7.96232080459595
58,50.3114,13.9444713592529
59,50.3151,5.60054302215576
60,50.3209,3.45841860771179
61,50.3275,2.58494448661804
62,50.3339,11.105731010437
63,50.3405,8.0880298614502
64,50.3447,13.7021541595459
65,50.3488,3.4054217338562
66,50.3528,16.4380893707275
67,50.3561,5.94629001617432
68,50.3587,5.43476867675781
69,50.3612,9.42251682281494
70,50.3656,6.89829111099243
71,50.3692,2.76116061210632
72,50.3723,5.17788457870483
73,50.3754,2.94167995452881
74,50.3823,10.9760465621948
75,50.3860,3.83426022529602
76,50.3893,13.9024658203125
77,50.3928,16.427074432373
78,50.4089,13.4938526153564
79,50.4123,6.58606338500977
80,50.4150,6.42315769195557
81,50.4194,7.09682321548462
82,50.4251,2.63770818710327
83,50.4327,2.86103582382202
84,50.4479,6.6365385055542
85,50.4513,10.387900352478
86,50.4590,10.7659273147583
87,50.4629,5.47539615631104
88,50.4662,6.72537708282471
89,50.4714,11.7189121246338
90,50.4801,5.77446317672729
91,50.4834,9.74395179748535
92,50.4883,27.1984710693359
93,50.4982,10.698073387146
94,50.5094,5.00215005874634
