#"-ESI Scan (rt: 0.050-1.000 min, 80 scans) Frag=175.0V 20.d "
#Point,X(Thompsons),Y(Counts)
0,50.0018,14.9364213943481
1,50.0079,7.60907077789307
2,50.0117,5.25879335403442
3,50.0157,8.43958950042725
4,50.0216,11.6895847320557
5,50.0252,10.1453247070313
6,50.0329,2.52717399597168
7,50.0356,9.51636505126953
8,50.0409,8.05649566650391
9,50.0456,2.58961391448975
10,50.0506,5.91742134094238
11,50.0599,20.7378749847412
12,50.0650,7.4890456199646
13,50.0728,12.9833450317383
14,50.0790,14.3808717727661
15,50.0837,8.80832481384277
16,50.0896,4.48967409133911
17,50.0931,3.45274019241333
18,50.0981,11.916711807251
19,50.1023,9.51669025421143
20,50.1065,14.3844881057739
21,50.1154,11.0383100509644
22,50.1217,5.30587959289551
23,50.1244,2.57249999046326
24,50.1375,13.1434373855591
25,50.1468,8.27183723449707
26,50.1522,2.6725001335144
27,50.1563,13.2635774612427
28,50.1607,17.0697231292725
29,50.1641,9.89147853851318
30,50.1686,2.54444456100464
31,50.1737,13.6594572067261
32,50.1786,7.53583145141602
33,50.1878,15.1792907714844
34,50.1909,11.88205909729
35,50.1956,13.2157335281372
36,50.2004,16.0278625488281
37,50.2054,5.11255216598511
38,50.2100,12.0837364196777
39,50.2137,15.1572113037109
40,50.2190,20.9308204650879
41,50.2226,5.32078647613525
42,50.2250,9.21118640899658
43,50.2291,7.68335103988647
44,50.2350,6.16203308105469
45,50.2433,14.0738925933838
46,50.2472,6.61001586914063
47,50.2513,7.08146810531616
48,50.2549,7.40133047103882
49,50.2593,7.66554546356201
50,50.2668,23.3609848022461
51,50.2712,5.2117772102356
52,50.2765,2.85080647468567
53,50.2798,12.7418918609619
54,50.2877,2.88904571533203
55,50.2913,5.92199897766113
56,50.2951,2.8895411491394
57,50.3018,2.74912333488464
58,50.3055,17.432653427124
59,50.3155,18.0878658294678
60,50.3193,6.08640146255493
61,50.3242,7.51876544952393
62,50.3273,6.75004863739014
63,50.3313,9.11538887023926
64,50.3353,5.07152557373047
65,50.3381,4.91213130950928
66,50.3409,3.14872455596924
67,50.3438,10.6996717453003
68,50.3520,9.99170112609863
69,50.3580,6.82949209213257
70,50.3618,15.4676103591919
71,50.3709,3.28351831436157
72,50.3750,8.95404052734375
73,50.3812,10.4481573104858
74,50.3848,5.27352952957153
75,50.3927,5.52460718154907
76,50.4009,7.85477733612061
77,50.4072,2.90845417976379
78,50.4112,10.5567636489868
79,50.4141,2.93450045585632
80,50.4204,5.76424026489258
81,50.4237,9.74880981445313
82,50.4286,5.54225015640259
83,50.4356,3.50399732589722
84,50.4410,10.6665706634521
85,50.4477,10.732123374939
86,50.4510,9.47102928161621
87,50.4552,9.55365943908691
88,50.4662,5.6194167137146
89,50.4769,8.82548999786377
90,50.4807,4.0348424911499
91,50.4849,5.45204305648804
92,50.4899,9.21930408477783
93,50.4930,3.10850691795349
94,50.4983,6.58323812484741
95,50.5140,3.29754447937012
96,50.5171,9.22162437438965
97,50.5260,10.1024742126465
98,50.5306,3.07397532463074
99,50.5345,10.4588470458984
100,50.5388,5.19690418243408
101,50.5427,7.65834903717041
102,50.5522,3.6171612739563
103,50.5577,8.08996391296387
104,50.5655,10.5337038040161
105,50.5708,19.0496463775635
106,50.5747,7.88615798950195
107,50.5805,3.66315412521362
108,50.5851,6.52646541595459
109,50.5939,16.6231079101563
110,50.5988,17.0416831970215
111,50.6094,6.30231475830078
112,50.6135,7.81361865997314
113,50.6187,14.7914628982544
114,50.6247,14.8901920318604
115,50.6308,2.68041038513184
116,50.6351,16.662166595459
117,50.6486,2.70844221115112
118,50.6523,21.2069759368896
119,50.6579,9.72058773040771
120,50.6618,2.90432834625244
121,50.6654,5.72475290298462
122,50.6699,5.17405033111572
123,50.6755,6.54244995117188
124,50.6800,15.0366268157959
125,50.6836,9.47159767150879
126,50.6872,17.2155113220215
127,50.6915,14.7533922195435
128,50.6951,2.99893188476563
129,50.6975,6.17347621917725
130,50.7009,11.0532932281494
131,50.7098,9.13404941558838
132,50.7149,2.9295928478241
133,50.7179,5.40714168548584
134,50.7211,5.35628223419189
135,50.7246,6.99746704101563
136,50.7335,6.91193675994873
137,50.7382,2.97945666313171
138,50.7410,3.2533221244812
139,50.7457,2.81097269058228
140,50.7499,8.0324764251709
141,50.7527,8.03178882598877
142,50.7577,14.9123258590698
143,50.7607,2.70334434509277
144,50.7650,6.46114206314087
145,50.7725,15.7572937011719
