#"-ESI Scan (rt: 0.047-1.022 min, 81 scans) Frag=175.0V wash11B.d "
#Point,X(Thompsons),Y(Counts)
0,50.0018,34.2571449279785
1,50.0059,15.5040550231934
2,50.0114,11.1202173233032
3,50.0154,10.4216184616089
4,50.0203,16.173677444458
5,50.0232,26.5719242095947
6,50.0263,15.0632247924805
7,50.0327,46.6610450744629
8,50.0363,4.70724153518677
9,50.0404,7.51742458343506
10,50.0439,9.90334129333496
11,50.0460,15.58323097229
12,50.0514,14.807168006897
13,50.0544,10.2742757797241
14,50.0578,27.4545497894287
15,50.0625,34.7057189941406
16,50.0679,15.4477386474609
17,50.0734,16.1479091644287
18,50.0764,10.8519697189331
19,50.0790,40.5547142028809
20,50.0832,18.1898422241211
21,50.0854,5.6944375038147
22,50.0912,5.24465036392212
23,50.0983,17.0306625366211
24,50.1013,10.1091003417969
25,50.1070,9.84390068054199
26,50.1106,15.001823425293
27,50.1164,15.3792285919189
28,50.1194,5.01277303695679
29,50.1220,10.6809034347534
30,50.1281,19.6513538360596
31,50.1314,19.8258953094482
32,50.1346,4.80508470535278
33,50.1382,22.0305786132813
34,50.1427,21.0178985595703
35,50.1493,5.75901317596436
36,50.1523,20.2290515899658
37,50.1554,13.6999711990356
38,50.1610,10.5159711837769
39,50.1639,15.4305238723755
40,50.1726,6.37064218521118
41,50.1795,24.4746742248535
42,50.1880,14.905834197998
43,50.1941,17.269287109375
44,50.1994,3.88475513458252
45,50.2037,15.5569267272949
46,50.2068,5.51732873916626
47,50.2106,27.5653247833252
48,50.2175,24.6664161682129
49,50.2219,20.3288478851318
50,50.2249,37.3853912353516
51,50.2284,22.4731540679932
52,50.2362,20.2974891662598
53,50.2400,5.14268922805786
54,50.2430,16.8349571228027
55,50.2482,20.5390243530273
56,50.2526,9.48888874053955
57,50.2600,5.48997926712036
58,50.2707,11.3331928253174
59,50.2750,9.66886806488037
60,50.2788,12.092303276062
61,50.2806,9.60226154327393
62,50.2858,4.77973079681396
63,50.2885,5.51100301742554
64,50.2918,9.46149063110352
65,50.2946,15.2763652801514
66,50.2998,19.6845321655273
67,50.3063,36.3896331787109
68,50.3103,33.7404556274414
69,50.3170,32.8121185302734
70,50.3235,16.0245494842529
71,50.3300,15.5006122589111
72,50.3338,5.11556005477905
73,50.3371,29.8287010192871
74,50.3424,25.357629776001
75,50.3456,11.7738771438599
76,50.3492,4.82098770141602
77,50.3528,24.0594806671143
78,50.3605,36.9136085510254
79,50.3649,4.50881338119507
80,50.3696,18.0965976715088
81,50.3769,35.2628898620605
82,50.3816,5.37811708450317
83,50.3869,16.1481513977051
84,50.3907,10.2716341018677
85,50.3940,9.79577445983887
86,50.4028,9.24785804748535
87,50.4096,31.3955478668213
88,50.4174,4.85311651229858
89,50.4200,23.0495853424072
90,50.4234,4.96195554733276
91,50.4290,26.5166530609131
92,50.4348,20.7181415557861
93,50.4380,9.95841026306152
94,50.4427,11.2377452850342
95,50.4553,4.87137889862061
96,50.4610,16.1973171234131
97,50.4649,5.00020551681519
98,50.4679,5.55634593963623
99,50.4710,32.6100997924805
100,50.4752,30.986967086792
101,50.4783,13.6635246276855
102,50.4810,20.1224708557129
103,50.4837,5.54239749908447
104,50.4871,26.4895172119141
105,50.4916,11.6840286254883
106,50.4960,10.6507415771484
107,50.5014,17.6172924041748
108,50.5062,20.3971710205078
109,50.5121,4.86979150772095
110,50.5154,4.9957480430603
111,50.5186,11.6171350479126
112,50.5246,4.63133430480957
113,50.5280,28.4160041809082
114,50.5329,20.0994071960449
115,50.5372,33.4960899353027
116,50.5413,4.78398036956787
117,50.5445,16.2816028594971
118,50.5499,12.067066192627
119,50.5547,8.44160270690918
120,50.5585,37.9854164123535
121,50.5637,5.65029001235962
122,50.5687,4.55250215530396
123,50.5733,10.2691078186035
124,50.5820,15.1163272857666
125,50.5872,14.7132148742676
126,50.5906,5.06124687194824
127,50.5943,15.2801752090454
128,50.6085,9.56241607666016
129,50.6117,26.5913848876953
130,50.6148,17.3782806396484
131,50.6208,46.542652130127
132,50.6280,22.7868328094482
133,50.6310,27.3464450836182
134,50.6380,9.39359378814697
135,50.6428,21.0815448760986
136,50.6459,5.50038576126099
137,50.6495,22.2821731567383
138,50.6540,24.1843585968018
139,50.6579,24.996223449707
140,50.6666,25.5568447113037
141,50.6704,11.0483818054199
142,50.6735,16.8929042816162
143,50.6773,7.46157121658325
144,50.6809,10.5860910415649
145,50.6830,14.4196977615356
146,50.6856,9.53958511352539
147,50.6896,19.8713893890381
148,50.6924,5.12361145019531
149,50.6959,25.2493724822998
150,50.7002,13.1647253036499
151,50.7053,14.259467124939
152,50.7090,9.64676094055176
153,50.7129,6.2251992225647
154,50.7181,22.0828666687012
155,50.7235,7.50273370742798
156,50.7268,5.07231664657593
157,50.7297,30.2688255310059
158,50.7328,32.7761840820313
159,50.7375,10.0383014678955
160,50.7403,16.3618621826172
161,50.7477,4.85470485687256
162,50.7506,15.8940477371216
163,50.7563,11.1570024490356
164,50.7615,12.867015838623
165,50.7640,14.1091642379761
166,50.7666,11.524076461792
167,50.7710,5.13551044464111
168,50.7751,8.94720649719238
169,50.7790,12.1505069732666
170,50.7816,16.0864524841309
171,50.7873,15.7393093109131
172,50.7939,23.9132270812988
173,50.7999,25.1224880218506
174,50.8032,15.2155990600586
175,50.8081,35.4679679870605
176,50.8120,4.84101915359497
177,50.8164,16.2802639007568
178,50.8199,21.2935752868652
179,50.8241,40.3768196105957
180,50.8292,11.8120851516724
181,50.8331,17.3454246520996
182,50.8378,16.4804286956787
183,50.8407,10.4961385726929
184,50.8455,4.85497951507568
185,50.8495,17.2913570404053
186,50.8553,5.89163303375244
187,50.8591,5.23937177658081
188,50.8624,11.2782573699951
189,50.8668,4.65317583084106
190,50.8694,20.6997013092041
191,50.8749,32.4546737670898
192,50.8810,19.3744411468506
193,50.8843,5.86936187744141
194,50.8879,17.1588001251221
195,50.8904,10.3441181182861
196,50.8950,27.577974319458
197,50.8983,15.852180480957
198,50.9042,9.25440216064453
199,50.9083,10.1093120574951
200,50.9121,21.68967628479
201,50.9160,17.9391632080078
202,50.9208,4.82453060150146
203,50.9263,5.09876537322998
204,50.9328,4.65760040283203
205,50.9359,4.57571220397949
206,50.9424,15.9602537155151
207,50.9460,4.85795211791992
208,50.9491,16.1732006072998
209,50.9551,22.8909130096436
210,50.9598,17.5694751739502
211,50.9651,8.95233821868896
212,50.9683,5.34128665924072
213,50.9714,8.92360496520996
214,50.9751,5.48248910903931
