#"-ESI Scan (rt: 0.056-1.019 min, 80 scans) Frag=175.0V wash8.d "
#Point,X(Thompsons),Y(Counts)
0,50.0005,10.7520904541016
1,50.0046,27.2577457427979
2,50.0091,11.0850887298584
3,50.0129,13.8822736740112
4,50.0181,4.50029611587524
5,50.0244,19.1246185302734
6,50.0307,15.7580518722534
7,50.0394,18.6971950531006
8,50.0450,8.83497524261475
9,50.0480,19.8878021240234
10,50.0546,19.743335723877
11,50.0584,22.1505241394043
12,50.0632,4.05111598968506
13,50.0662,4.27610969543457
14,50.0719,23.7699394226074
15,50.0766,25.2841320037842
16,50.0804,30.9073944091797
17,50.0852,5.99466562271118
18,50.0896,14.805438041687
19,50.0965,16.2412605285645
20,50.1028,15.1277437210083
21,50.1107,26.9236793518066
22,50.1160,19.5363368988037
23,50.1199,9.77821159362793
24,50.1223,9.9035005569458
25,50.1283,7.66313171386719
26,50.1338,22.5899600982666
27,50.1375,5.22112512588501
28,50.1411,11.784704208374
29,50.1453,20.0208072662354
30,50.1497,31.7867736816406
31,50.1539,10.5379848480225
32,50.1629,29.4544467926025
33,50.1667,30.4405612945557
34,50.1716,19.480899810791
35,50.1819,25.3125038146973
36,50.1854,10.9547071456909
37,50.1884,7.9241361618042
38,50.1909,11.0051336288452
39,50.1946,8.96964454650879
40,50.1986,10.9399766921997
41,50.2035,5.04101276397705
42,50.2076,11.1943302154541
43,50.2115,14.8577041625977
44,50.2161,24.5877628326416
45,50.2194,5.9917459487915
46,50.2237,5.96772861480713
47,50.2302,9.64223003387451
48,50.2386,4.62545156478882
49,50.2432,20.075891494751
50,50.2472,22.4729652404785
51,50.2502,6.14261150360107
52,50.2573,15.3758869171143
53,50.2629,10.4086284637451
54,50.2665,9.19235038757324
55,50.2744,15.0604677200317
56,50.2773,14.9006195068359
57,50.2813,15.6708164215088
58,50.2864,16.1004085540771
59,50.2904,15.0734272003174
60,50.2964,5.43579149246216
61,50.3019,10.9295520782471
62,50.3058,8.88976192474365
63,50.3084,16.5591697692871
64,50.3109,5.07426452636719
65,50.3135,14.7799196243286
66,50.3160,18.4062461853027
67,50.3205,39.4760360717773
68,50.3263,2.625
69,50.3316,13.9969348907471
70,50.3372,17.958459854126
71,50.3436,28.445240020752
72,50.3478,21.5285453796387
73,50.3511,4.48823690414429
74,50.3549,4.34013891220093
75,50.3596,9.76225471496582
76,50.3628,21.5705833435059
77,50.3655,17.3452186584473
78,50.3687,29.4953422546387
79,50.3740,7.92990732192993
80,50.3781,34.3207473754883
81,50.3858,29.6055488586426
82,50.3894,5.58877849578857
83,50.3941,20.8529243469238
84,50.3972,11.012261390686
85,50.4005,9.35410404205322
86,50.4053,18.0854434967041
87,50.4137,23.4500312805176
88,50.4186,15.0068683624268
89,50.4226,11.3174419403076
90,50.4273,10.3845462799072
91,50.4307,14.1196088790894
92,50.4337,10.5044851303101
93,50.4362,11.1281890869141
